german,english
junge,boy
stark,strong
der,the
toll,great
es,it
das,the
wir,we
und,and
laut,noisy
sind,am
kinder,children
schwach,weak
lang,long
kurz,brief
er,he
ist,is
leise,quiet
deutsch,german
ja,yes
du,you
sie,she/they
aus,from
bin,am
englisch,english
ich,I
den,the
eine,a
hat,has
die,the
brot,bread
mann,man
trinkt,drink
groß,big
rund,round
normal,normal
frei,free
orangensaft,orange juice
fleisch,meat
gut,good
durst,thirst
schmeckt,bad
esse,eat
trinken,drink
das,the
isst,is
frisch,fresh
schwein,pig
hunger,hungry
habe,have
einen,a
ein,a
männer,men
jungen,boys
frauen,women
mädchen,girl
ihr,you
seid,are
frau,woman
kind,child
bist,are
habt,have
bücher,books
zeitung,newspapers
lese,read
lesen,read
buch,book
liest,read
reis,rice
pizzas,pizzas
pizza,pizza
eis,ice
lecker,tasty
süß,sweet
guten morgen,good morning
auf wiedersehen,goodbye
milch,milk
hast,have
haben,have
tschüss,bye
gern geschehen,you're welcome
hallo,hello
danke,thank you
bis bald,see you later
bis später,see you soon
bitte,please
willkommen,welcome
guten tag,good day
gute nacht,good night
in ordnung,alright
perfekt,perfect
schlecht,bad
leicht,light
nein,no
ruhig,calm
klar,clear
klein,short
trinke,drink
essen,eat
trinkst,drink
esst,eat
vogel,bird
sprecht,speak
sprechen,speak
versteht,understand
deutschland,germany
wein,wine
bis morgen,see you tomorrow
mir geht's gut,I'm doing fine
guten abend,good evening
wie geht's,we can do it
keine ahnung,no idea
alles klar,all right
leider,unfortunately
genau,exactly
es tut mir leid,I am sorry
bär,bear
maus,mouse
fliege,fly
biene,bee
käfer,beetle
insekt,insect
pferd,horse
kuh,cow
haustier,pet
ente,duck
tier,animal
hund,dog
katze,cat
öl,oil
nudeln,noodles
salz,salt
erdbeere,strawberry
zucker,sugar
schokole,chocolate
ei,egg
gemüse,vegetables
käse,cheese
kartoffel,potato
saft,juice
apfelsaft,apple juice
obst,fruit
orange,orange
tee,tea
bier,beer
kaffee,coffee
essen,eat
suppe,soup
fisch,fish
apfel,apple
entschuldigung,sorry
